"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
8,0.8,"Staggered entry, time-on-study order",631,627,FALSE,NA,14.0097036647594,2.63975020843067,-0.240293182476964,0.786397269366171
8,0.8,"Staggered entry, calendar-event order",631,626,FALSE,NA,5.71082499683305,1.74236349603917,-0.235424804681709,0.79023508275331
9,0.8,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.579845351054779,-0.544993847107851,-0.120908134365862,0.886115359403307
9,0.8,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.579845351054779,-0.544993847107851,-0.120908134365862,0.886115359403307
9,0.8,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.405009593199786,-0.903844525243076,-0.120747957355756,0.886257306080179
10,0.8,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.932478750669395,-0.0699089152097087,-0.147804468545192,0.862599763840167
10,0.8,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.932478750669395,-0.0699089152097087,-0.147804468545192,0.862599763840167
10,0.8,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.191955288113472,-1.65049280848281,-0.149551245712809,0.861094309497326
11,0.8,"Simultaneous entry, time-on-study order",631,628,TRUE,177,70641.9373216112,11.1653792601794,-0.465641877904099,0.627732048515256
11,0.8,"Staggered entry, time-on-study order",631,628,TRUE,177,70641.9373216112,11.1653792601794,-0.465641877904099,0.627732048515256
11,0.8,"Staggered entry, calendar-event order",631,626,TRUE,199,70600.8876842504,11.1647979968336,-0.460104659084785,0.631217579395617
12,0.8,"Simultaneous entry, time-on-study order",631,630,TRUE,367,18.3421589719718,2.90920217920048,-0.202552660973358,0.816643476225398
12,0.8,"Staggered entry, time-on-study order",631,630,TRUE,367,18.3421589719718,2.90920217920048,-0.202552660973358,0.816643476225398
12,0.8,"Staggered entry, calendar-event order",631,630,TRUE,342,10.1512589071181,2.31759772805462,-0.197523526767654,0.820760830551214
13,0.8,"Simultaneous entry, time-on-study order",631,630,TRUE,127,5.85118426816693,1.76664407975865,-0.198847609121867,0.819674794777523
